collection_no,source_database,collection.authorizer,occurrence.genus_name,original.genus_reso,occurrence.reference_no,collection.reference_no,pubyr,collection_name,country,Continent,latlng_basis,paleolatdec,Lat Bin,paleolngdec,period,epoch,subepoch,stage,10_my_bin,FR2_bin,max_interval,min_interval,interval_base,interval_top,interval_midpoint,interpolated_base,interpolated_top,interpolated_mid,ma_max,ma_min,ma_mid,formation,lithology1
59715,ETE,M. Carrano,Megalosaurus,,27912,23773,1871,Cornwell quarry,United Kingdom,Europe,based on nearby landmark,41.12,N2,8.94,Jurassic,Middle Jurassic,,,Jurassic 4,,Late/Upper Bajocian,Bathonian,171.6,164.7,168.15,,,0,171.6,164.7,168.15,,"""limestone"""
57121,ETE,M. Carrano,Megalosaurus,,10557,10557,1994,Kineton Thorns Quarry,United Kingdom,Europe,based on political unit,41.36,N2,8.66,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Bathonian,,167.7,164.7,166.2,,,0,167.7,164.7,166.2,Cotswold Slate,slate
52539,ETE,M. Carrano,Megalosaurus,,14142,14142,1888,Daston theropod (BMNH 47152),United Kingdom,Europe,stated in text,41.46,N2,9.44,Jurassic,Middle Jurassic,,Bajocian,Jurassic 4,Bajocian,Bajocian,,171.6,167.7,169.65,,,0,171.6,167.7,169.65,,not reported
59357,ETE,M. Carrano,Megalosaurus,n. gen.,14134,17007,1824,Stonesfield Slate quarries,United Kingdom,Europe,based on nearby landmark,41.49,N2,8.94,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Middle Bathonian,,167.7,164.7,166.2,166.7,165.7,166.2,167.7,164.7,166.2,Taynton Limestone,sandstone
59716,ETE,M. Carrano,Megalosaurus,,27912,17103,1758,"Woodstock, Stonesfield",United Kingdom,Europe,based on nearby landmark,41.5,N2,8.94,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Middle Bathonian,,167.7,164.7,166.2,166.7,165.7,166.2,167.7,164.7,166.2,Taynton Limestone,"""shale"""
53520,ETE,M. Carrano,Megalosaurus,,23773,23773,1871,Bletchington Station (OUM),United Kingdom,Europe,stated in text,41.5,N2,9.05,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Late/Upper Bathonian,,167.7,164.7,166.2,165.7,164.7,165.2,167.7,164.7,166.2,Forest Marble,sandstone
57140,ETE,M. Carrano,Megalosaurus,,10557,10557,1994,Eyford Hill Quarry,United Kingdom,Europe,based on nearby landmark,41.51,N2,8.61,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Middle Bathonian,,167.7,164.7,166.2,166.7,165.7,166.2,167.7,164.7,166.2,Cotswold Slate,not reported
39075,PaleoDB,M. Carrano,Megalosaurus,,15587,10558,1976,Kirtlington 3p (Mammal Bed),United Kingdom,Europe,based on nearby landmark,41.51,N2,9.08,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Late/Upper Bathonian,,167.7,164.7,166.2,165.7,164.7,165.2,167.7,164.7,166.2,Forest Marble,marl
52546,ETE,M. Carrano,Megalosaurus,,14142,14142,1888,"Sarsden, Chipping Norton",United Kingdom,Europe,based on nearby landmark,41.53,N2,8.81,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Early/Lower Bathonian,,167.7,164.7,166.2,167.7,166.7,167.2,167.7,164.7,166.2,Sharp's Hill,"""limestone"""
52551,ETE,M. Carrano,Megalosaurus,,23773,23773,1871,Enslow Bridge theropod (OUM),United Kingdom,Europe,based on nearby landmark,41.55,N2,8.92,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Late/Upper Bathonian,,167.7,164.7,166.2,165.7,164.7,165.2,167.7,164.7,166.2,Forest Marble,not reported
31054,PaleoDB,M. Carrano,Megalosaurus,,27913,8380,1994,Hornsleasow Quarry,United Kingdom,Europe,estimated from map,41.6,N2,8.62,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Early/Lower Bathonian,,167.7,164.7,166.2,167.7,166.7,167.2,167.7,164.7,166.2,Chipping Norton Limestone,claystone
74835,ETE,M. Carrano,Megalosaurus,,25218,25218,1939,Oakham Quarry,United Kingdom,Europe,,41.6,N2,8.75,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Late/Upper Bathonian,,167.7,164.7,166.2,165.7,164.7,165.2,167.7,164.7,166.2,Chipping Norton Limestone,"""limestone"""
52550,ETE,M. Carrano,Megalosaurus,,14142,14142,1888,"Stanton, Wiltshire (BMNH)",United Kingdom,Europe,based on nearby landmark,41.62,N2,8.54,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Late/Upper Bathonian,,167.7,164.7,166.2,165.7,164.7,165.2,167.7,164.7,166.2,Forest Marble,not reported
49214,ETE,M. Carrano,Megalosaurus,,13143,45828,1951,Cap Mondego tracksite,Portugal,Europe,estimated from map,33.84,N2,2.49,Jurassic,,,,Jurassic 5,,Callovian,Oxfordian,164.7,155.7,160.2,,,0,164.7,155.7,160.2,,marl
90080,PaleoDB,R. Butler,Megalosaurus,,45099,45099,1967,Poitiers environs,France,Europe,based on nearby landmark,37.25,N2,10.38,Jurassic,Late/Upper Jurassic,,Oxfordian,Jurassic 5,Oxfordian,Oxfordian,,161.2,155.7,158.45,,,0,161.2,155.7,158.45,,not reported
142143,PaleoDB,M. Carrano,Megalosaurus,,46174,46174,1995,north of Gray,France,Europe,based on nearby landmark,38.13,N2,15.15,Jurassic,Middle Jurassic,,Callovian,Jurassic 5,Callovian,Middle Callovian,Late/Upper Callovian,164.7,161.2,162.95,163.533,161.2,162.3665,164.7,161.2,162.95,,"""carbonate"""
52633,ETE,M. Carrano,Megalosaurus,,14142,14142,1888,Vaches Noires (BMNH),France,Europe,based on nearby landmark,39.49,N2,10.18,Jurassic,Middle Jurassic,,Callovian,Jurassic 5,Callovian,Late/Upper Callovian,,164.7,161.2,162.95,162.367,161.2,161.7835,164.7,161.2,162.95,Marnes de Dives,claystone
141177,ETE,M. Carrano,Megalosaurus,,45817,45814,1885,"near Villers, Vaches Noires (École des Mines)",France,Europe,based on nearby landmark,39.49,N2,10.18,Jurassic,Middle Jurassic,,Callovian,Jurassic 5,Callovian,Late/Upper Callovian,,164.7,161.2,162.95,162.367,161.2,161.7835,164.7,161.2,162.95,Marnes de Dives,claystone
141177,ETE,M. Carrano,Megalosaurus,cf.,45806,45814,1885,"near Villers, Vaches Noires (École des Mines)",France,Europe,based on nearby landmark,39.49,N2,10.18,Jurassic,Middle Jurassic,,Callovian,Jurassic 5,Callovian,Late/Upper Callovian,,164.7,161.2,162.95,162.367,161.2,161.7835,164.7,161.2,162.95,Marnes de Dives,claystone
91992,ETE,M. Carrano,Megalosaurus,,14142,14071,1842,Dry Sandford,United Kingdom,Europe,based on nearby landmark,42.32,N2,8.58,Jurassic,Late/Upper Jurassic,,Oxfordian,Jurassic 5,Oxfordian,Middle Oxfordian,,161.2,155.7,158.45,159.367,157.533,158.45,161.2,155.7,158.45,Stanford,not reported
59127,ETE,M. Carrano,Megalosaurus,,16869,16869,1901,"Fletton brick pit, Peterborough (Sedgwick)",United Kingdom,Europe,estimated from map,42.71,N2,9.66,Jurassic,Middle Jurassic,,Callovian,Jurassic 5,Callovian,Middle Callovian,,164.7,161.2,162.95,163.533,162.367,162.95,164.7,161.2,162.95,Oxford Clay,not reported
91991,ETE,M. Carrano,Megalosaurus,,14071,14071,1842,Malton,United Kingdom,Europe,based on nearby landmark,44.77,N2,8.83,Jurassic,Late/Upper Jurassic,,Oxfordian,Jurassic 5,Oxfordian,Late/Upper Oxfordian,,161.2,155.7,158.45,157.533,155.7,156.6165,161.2,155.7,158.45,Corallian Oolite,"""limestone"""
75743,ETE,M. Carrano,Megalosaurus,,25599,25599,1975,"Weymouth, Dorset (UCMP) (PROXY)",United Kingdom,Europe,based on nearby landmark,41.23,N2,7.67,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Kimmeridgian,,155.7,150.8,153.25,,,0,155.7,150.8,153.25,Kimmeridge Clay,
38656,PaleoDB,M. Carrano,Megalosaurus,,41617,10373,1985,"West Bay-Lyme Bay, Portland",United Kingdom,Europe,based on nearby landmark,41.37,N2,7.34,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Early/Lower Kimmeridgian,,155.7,150.8,153.25,155.7,153.25,154.475,155.7,150.8,153.25,Kimmeridge Clay,"""shale"""
53966,ETE,M. Carrano,Megalosaurus,,14128,19135,1874,"Portel, Boulogne",France,Europe,based on nearby landmark,41.55,N2,10.96,Jurassic,Late/Upper Jurassic,,Tithonian,Jurassic 6,Portlandian,Middle Tithonian,,150.8,145.5,148.15,149.033,147.267,148.15,150.8,145.5,148.15,,not reported
163141,,P. Mannion,Megalosaurus,,53788,53788,1888,"Fritzow, Cammin",Poland,Europe,based on nearby landmark,45.43,N2,21.76,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Kimmeridgian,,155.7,150.8,153.25,,,0,155.7,150.8,153.25,,not reported
70549,ETE,M. Carrano,Megalosaurus,,23673,23673,1833,Canal de Belle-Croix,France,Europe,based on nearby landmark,35.36,N2,9.45,Jurassic,Middle Jurassic,,,,,Middle Jurassic,,175.6,161.2,168.4,,,0,175.6,161.2,168.4,,packstone
52556,ETE,M. Carrano,Metriacanthosaurus,,16872,23773,1871,"Jordan's Cliff, Weymouth (OUM)",United Kingdom,Europe,based on nearby landmark,41.23,N2,7.72,Jurassic,Late/Upper Jurassic,,Oxfordian,Jurassic 5,Oxfordian,Early/Lower Oxfordian,,161.2,155.7,158.45,161.2,159.367,160.2835,161.2,155.7,158.45,Oxford Clay,claystone
142093,PaleoDB,P. Mannion,Neovenator,,46154,46154,2012,Angeac-Charente,France,Europe,estimated from map,36.08,N2,9.69,Cretaceous,Early/Lower Cretaceous,,,Cretaceous 2,,Hauterivian,Barremian,136.4,125.45,130.925,,,0,136.4,125.45,130.925,,lignite
46875,ETE,M. Carrano,Neovenator,,12450,51626,1994,Grange Chine cliff face (MIWG/BMNH),United Kingdom,Europe,estimated from map,40.87,N2,9.36,Cretaceous,Early/Lower Cretaceous,,Barremian,Cretaceous 2,Barremian,Barremian,,130,125.45,127.725,,,0,130,125.45,127.725,Wessex,siltstone
61930,ETE,M. Carrano,Nuthetes,,17901,25997,2002,"Cherves-de-Cognac, level 36",France,Europe,estimated from map,36.66,N2,9.44,Cretaceous,Early/Lower Cretaceous,,Berriasian,Cretaceous 1,Berriasian,Berriasian,,145.5,140.2,142.85,,,0,145.5,140.2,142.85,,not reported
28401,Fossilworks,J. Alroy,Nuthetes,,8336,8336,1987,Sunnydown Farm Quarry (clay: upper horizon; equivalent to DB 102/103 ),United Kingdom,Europe,based on nearby landmark,41.46,N2,7.85,Cretaceous,Early/Lower Cretaceous,,Berriasian,Cretaceous 1,Berriasian,Middle Berriasian,,145.5,140.2,142.85,143.733,141.967,142.85,145.5,140.2,142.85,Lulworth,"""limestone"""
28995,Fossilworks,J. Alroy,Nuthetes,,8338,8338,1988,Sunnydown Farm Quarry (lower clay),United Kingdom,Europe,based on nearby landmark,41.46,N2,7.85,Cretaceous,Early/Lower Cretaceous,,Berriasian,Cretaceous 1,Berriasian,Middle Berriasian,,145.5,140.2,142.85,143.733,141.967,142.85,145.5,140.2,142.85,Lulworth,"""limestone"""
72142,ETE,M. Carrano,Nuthetes,,24418,38668,1884,"Mammal Bed, Durlston Bay (DB83)",United Kingdom,Europe,based on nearby landmark,41.46,N2,7.85,Cretaceous,Early/Lower Cretaceous,,Berriasian,Cretaceous 1,Berriasian,Middle Berriasian,,145.5,140.2,142.85,143.733,141.967,142.85,145.5,140.2,142.85,Lulworth,not reported
52254,ETE,M. Carrano,Nuthetes,,14060,14060,1854,"Feather Quarry, Durlston Bay (DB102)",United Kingdom,Europe,based on nearby landmark,41.46,N2,7.88,Cretaceous,Early/Lower Cretaceous,,Berriasian,Cretaceous 1,Berriasian,Middle Berriasian,,145.5,140.2,142.85,143.733,141.967,142.85,145.5,140.2,142.85,Lulworth,"""shale"""
77058,ETE,M. Carrano,Nuthetes,,47413,47413,1876,"Town Gardens Quarry, Swindon",United Kingdom,Europe,based on nearby landmark,42.43,N2,7.99,Cretaceous,Early/Lower Cretaceous,,Berriasian,Cretaceous 1,Berriasian,Berriasian,,145.5,140.2,142.85,,,0,145.5,140.2,142.85,,lime mudstone
61319,ETE,M. Carrano,Paronychodon,,17686,18607,1995,Uña,Spain,Europe,estimated from map,30.73,N2,8.1,Cretaceous,Early/Lower Cretaceous,,Barremian,Cretaceous 2,Barremian,Late/Upper Barremian,,130,125.45,127.725,127.5,125,126.25,130,125.45,127.725,La Huerguina,"""limestone"""
53921,ETE,M. Carrano,Paronychodon,,42977,19727,1997,"La Cantalera, Josa",Spain,Europe,estimated from map,31.13,N2,9.21,Cretaceous,Early/Lower Cretaceous,,,Cretaceous 2,,Late/Upper Hauterivian,Early/Lower Barremian,136.4,125.45,130.925,133.2,127.5,130.35,136.4,125.45,130.925,Blesa,claystone
53148,ETE,M. Carrano,Paronychodon,,14367,8702,2002,Bol'shoi Kemchug 3 (TGU),Russian Federation,Europe,stated in text,56.05,N2,88.1,Cretaceous,Early/Lower Cretaceous,,,Cretaceous 2,,Hauterivian,Barremian,136.4,125.45,130.925,,,0,136.4,125.45,130.925,Ilek,sandstone
59269,ETE,M. Carrano,Paronychodon,,16947,25139,1986,La Neuve,France,Europe,based on nearby landmark,34.13,N2,6.47,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,Late/Upper Campanian,,84.9,70.6,77.75,74.9,70.6,72.75,84.9,70.6,77.75,,sandstone
27894,ETE,M. Carrano,Paronychodon,,7650,7650,2002,Totesti-baraj,Romania,Europe,based on nearby landmark,32.44,N2,21.16,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Maastrichtian,,70.6,66.043,68.3215,,,0,70.6,66.043,68.3215,Sânpetru,claystone
26369,ETE,M. Carrano,Paronychodon,,37256,37235,2010,Nalatvad,Romania,Europe,based on nearby landmark,32.68,N2,21.1,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Early/Lower Maastrichtian,,70.6,66.043,68.3215,70.6,68.05,69.325,70.6,66.043,68.3215,Sânpetru,marl
24563,ETE,A. Rees,Paronychodon,,19445,6907,1978,Guimarota,Portugal,Europe,estimated from map,33.73,N2,1.88,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Kimmeridgian,,155.7,150.8,153.25,,,0,155.7,150.8,153.25,Alcobaça,coal
28006,Fossilworks,J. Alroy,Pelecanimimus,,12449,7671,1988,Las Hoyas Unit 3,Spain,Europe,estimated from map,30.52,N2,8.08,Cretaceous,Early/Lower Cretaceous,,Barremian,Cretaceous 2,Barremian,Late/Upper Barremian,,130,125.45,127.725,127.5,125,126.25,130,125.45,127.725,La Huérguina,"""limestone"""
51708,ETE,M. Carrano,Piveteausaurus,,13771,23791,1923,"Vaches Noires, near Dives",France,Europe,based on nearby landmark,39.43,N2,9.46,Jurassic,Middle Jurassic,,Callovian,Jurassic 5,Callovian,Late/Upper Callovian,,164.7,161.2,162.95,162.367,161.2,161.7835,164.7,161.2,162.95,Marnes de Dives,marl
55357,ETE,M. Carrano,Piveteausaurus,,41617,14861,1999,"Auberville, Vaches Noires",France,Europe,based on nearby landmark,39.47,N2,9.89,Jurassic,Middle Jurassic,,Callovian,Jurassic 5,Callovian,Late/Upper Callovian,,164.7,161.2,162.95,162.367,161.2,161.7835,164.7,161.2,162.95,Marnes de Dives,marl
35909,PaleoDB,M. Carrano,Piveteausaurus,,41617,9650,1992,"east of Houlgate, Vaches Noires",France,Europe,based on nearby landmark,39.76,N2,9.43,Jurassic,,,,Jurassic 5,,Late/Upper Callovian,Oxfordian,164.7,155.7,160.2,162.367,,81.1835,164.7,155.7,160.2,Marnes de Dives,not reported
48722,PaleoDB,M. Carrano,Pneumatoraptor,,32758,15353,2003,"Iharkút mine, Bakony mountains (=Németbánya)",Hungary,Europe,based on nearby landmark,30.98,N2,18.59,Cretaceous,Late/Upper Cretaceous,,Santonian,Cretaceous 6,Santonian,Santonian,,85.8,84.9,85.35,,,0,85.8,84.9,85.35,Csehbánya,claystone
49334,ETE,M. Carrano,Poekilopleuron,,13170,13170,1837,"La Maladrerie quarry, Caen",France,Europe,based on nearby landmark,38.89,N2,10.09,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Middle Bathonian,,167.7,164.7,166.2,166.7,165.7,166.2,167.7,164.7,166.2,Calcaire de Caen,"""limestone"""
45883,PaleoDB,M. Carrano,Proceratosaurus,,12213,12213,1910,Minchinhampton reservoir (BMNH R4860),United Kingdom,Europe,based on nearby landmark,41.3,N2,8.33,Jurassic,Middle Jurassic,,Bathonian,Jurassic 4,Bathonian,Middle Bathonian,Late/Upper Bathonian,167.7,164.7,166.2,166.7,164.7,165.7,167.7,164.7,166.2,White Limestone,"""limestone"""
53921,ETE,M. Carrano,Prodeinodon,,14675,19727,1997,"La Cantalera, Josa",Spain,Europe,estimated from map,31.13,N2,9.21,Cretaceous,Early/Lower Cretaceous,,,Cretaceous 2,,Late/Upper Hauterivian,Early/Lower Barremian,136.4,125.45,130.925,133.2,127.5,130.35,136.4,125.45,130.925,Blesa,claystone
53148,ETE,M. Carrano,Prodeinodon,,45983,8702,2002,Bol'shoi Kemchug 3 (TGU),Russian Federation,Europe,stated in text,56.05,N2,88.1,Cretaceous,Early/Lower Cretaceous,,,Cretaceous 2,,Hauterivian,Barremian,136.4,125.45,130.925,,,0,136.4,125.45,130.925,Ilek,sandstone
58199,ETE,M. Carrano,Prodeinodon,,33940,16510,1995,"Krasnyi Yar, Khilok River",Russian Federation,Europe,stated in text,52.71,N2,105.63,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,Aptian,,125.45,112.6,119.025,,,0,125.45,112.6,119.025,Khilok,sandstone
39680,PaleoDB,M. Carrano,Prodeinodon,,14367,14374,1973,Shestakovo-1,Russian Federation,Europe,stated in text,54.19,N2,84.6,Cretaceous,Early/Lower Cretaceous,,,,,Barremian,Aptian,130,112.6,121.3,,,0,130,112.6,121.3,Ilek,sandstone
48849,ETE,M. Carrano,Pyroraptor,,13017,13017,2000,La Boucharde,France,Europe,estimated from map,34.5,N2,5.87,Cretaceous,Late/Upper Cretaceous,,,,,Late/Upper Campanian,Early/Lower Maastrichtian,84.9,66.043,75.4715,74.9,68.05,71.475,84.9,66.043,75.4715,,sandstone
61319,ETE,M. Carrano,Richardoestesia,,17686,18607,1995,Uña,Spain,Europe,estimated from map,30.73,N2,8.1,Cretaceous,Early/Lower Cretaceous,,Barremian,Cretaceous 2,Barremian,Late/Upper Barremian,,130,125.45,127.725,127.5,125,126.25,130,125.45,127.725,La Huerguina,"""limestone"""
38677,PaleoDB,M. Carrano,Richardoestesia,,10378,10378,2001,"L'Abeller, Unit 3 (upper)",Spain,Europe,estimated from map,32.12,N2,2.86,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,Late/Upper Campanian,,84.9,70.6,77.75,74.9,70.6,72.75,84.9,70.6,77.75,Arén,sandstone
27894,ETE,M. Carrano,Richardoestesia,,7650,7650,2002,Totesti-baraj,Romania,Europe,based on nearby landmark,32.44,N2,21.16,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Maastrichtian,,70.6,66.043,68.3215,,,0,70.6,66.043,68.3215,Sânpetru,claystone
36731,PaleoDB,M. Carrano,Richardoestesia,,9837,36723,1998,Suterranya-1 (gypsum bed),Spain,Europe,based on nearby landmark,34.16,N2,0.77,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Late/Upper Maastrichtian,,70.6,66.043,68.3215,68.05,65.5,66.775,70.6,66.043,68.3215,Posa,marl
38134,PaleoDB,M. Carrano,Richardoestesia,,17707,43271,2003,"Kundur, Amur region",Russian Federation,Europe,stated in text,51.38,N2,117.66,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Late/Upper Maastrichtian,,70.6,66.043,68.3215,68.05,65.5,66.775,70.6,66.043,68.3215,Udurchukan,claystone
38134,PaleoDB,M. Carrano,Richardoestesia,,17707,43271,2003,"Kundur, Amur region",Russian Federation,Europe,stated in text,51.38,N2,117.66,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Late/Upper Maastrichtian,,70.6,66.043,68.3215,68.05,65.5,66.775,70.6,66.043,68.3215,Udurchukan,claystone
154213,,P. Mannion,Richardoestesia,,49990,49990,2014,Cliffs of Valmitão South,Portugal,Europe,based on nearby landmark,33.45,N2,1.06,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Late/Upper Kimmeridgian,,155.7,150.8,153.25,153.25,150.8,152.025,155.7,150.8,153.25,Lourinhã,not reported
24563,ETE,A. Rees,Richardoestesia,,17410,6907,1978,Guimarota,Portugal,Europe,estimated from map,33.73,N2,1.88,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Kimmeridgian,,155.7,150.8,153.25,,,0,155.7,150.8,153.25,Alcobaça,coal
58196,ETE,M. Carrano,Richardoestesia,,33940,14370,1970,"Mogoito, Promoina Klevenskogo",Russian Federation,Europe,stated in text,52.92,N2,104.46,Cretaceous,Early/Lower Cretaceous,,,,,Late/Upper Barremian,Aptian,130,112.6,121.3,127.5,,63.75,130,112.6,121.3,Murtoi,sandstone
37812,PaleoDB,M. Carrano,Sarcosaurus,,29483,10084,1908,"Wilmcote, Warwickshire (Hettangian)",United Kingdom,Europe,based on nearby landmark,38.58,N2,1.48,Jurassic,Early/Lower Jurassic,,Hettangian,Jurassic 1,Hettangian,Late/Upper Hettangian,,201.6,196.5,199.05,197.533,196.5,197.0165,201.6,196.5,199.05,Blue Lias,not reported
71400,PaleoDB,M. Carrano,Sarcosaurus,,14205,14205,2004,"Wilmcote, Warwickshire (Sinemurian)",United Kingdom,Europe,based on nearby landmark,39.01,N2,4.18,Jurassic,Early/Lower Jurassic,,Sinemurian,Jurassic 1,Sinemurian,Early/Lower Sinemurian,,196.5,189.6,193.05,,,0,196.5,189.6,193.05,,not reported
71401,ETE,M. Carrano,Sarcosaurus,,10404,10404,1921,Barrow-on-Soar,United Kingdom,Europe,based on nearby landmark,39.63,N2,4.42,Jurassic,Early/Lower Jurassic,,Sinemurian,Jurassic 1,Sinemurian,Early/Lower Sinemurian,,196.5,189.6,193.05,,,0,196.5,189.6,193.05,,not reported
38134,PaleoDB,M. Carrano,Saurornitholestes,,17707,43271,2003,"Kundur, Amur region",Russian Federation,Europe,stated in text,51.38,N2,117.66,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Late/Upper Maastrichtian,,70.6,66.043,68.3215,68.05,65.5,66.775,70.6,66.043,68.3215,Udurchukan,claystone
130048,PaleoDB,M. Carrano,Sciurumimus,,42198,42198,2012,"Rygol Quarry, Painten",Germany,Europe,based on nearby landmark,41.05,N2,19.79,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Late/Upper Kimmeridgian,,155.7,150.8,153.25,153.25,150.8,152.025,155.7,150.8,153.25,Rögling,lime mudstone
49339,ETE,M. Carrano,Streptospondylus,,30159,30114,1808,"Vaches Noires cliffs, near Honfleur",France,Europe,based on nearby landmark,40.08,N2,10.08,Jurassic,,,,Jurassic 5,,Late/Upper Callovian,Early/Lower Oxfordian,164.7,155.7,160.2,162.367,159.367,160.867,164.7,155.7,160.2,,marl
49339,ETE,M. Carrano,Streptospondylus,,13172,30114,1808,"Vaches Noires cliffs, near Honfleur",France,Europe,based on nearby landmark,40.08,N2,10.08,Jurassic,,,,Jurassic 5,,Late/Upper Callovian,Early/Lower Oxfordian,164.7,155.7,160.2,162.367,159.367,160.867,164.7,155.7,160.2,,marl
58094,ETE,M. Carrano,Suchosaurus,,15587,15587,1995,"Hare Farm Lane, Brede",United Kingdom,Europe,stated in text,41.68,N2,10.31,Cretaceous,Early/Lower Cretaceous,,Valanginian,Cretaceous 1,Valanginian,Valanginian,,140.2,136.4,138.3,,,0,140.2,136.4,138.3,Wadhurst Clay,sandstone
49255,ETE,M. Carrano,Suchosaurus,,25417,42900,1896,"Boca do Chapim, Cape Espichel",Portugal,Europe,estimated from map,31.82,N2,1.35,Cretaceous,Early/Lower Cretaceous,,Barremian,Cretaceous 2,Barremian,Early/Lower Barremian,,130,125.45,127.725,130,127.5,128.75,130,125.45,127.725,Papo Seco,sandstone
61324,ETE,M. Carrano,Suchosaurus,,52133,18590,1918,"Catedrático, Morella",Spain,Europe,estimated from map,30.09,N2,10.07,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,Early/Lower Aptian,,125.45,122.46,123.955,125,118.5,121.75,125.45,122.46,123.955,Arcillas de Morella,not reported
61317,ETE,M. Carrano,Suchosaurus,,52727,52133,1927,Rubielos de Mora 1,Spain,Europe,estimated from map,30.8,N2,8.54,Cretaceous,Early/Lower Cretaceous,,,,,Neocomian,Barremian,145.5,125.45,135.475,,,0,145.5,125.45,135.475,,not reported
28456,PaleoDB,M. Carrano,Tarascosaurus,,7842,7842,1991,Lambeau de Beausset,France,Europe,based on nearby landmark,33.86,N2,6.52,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,Early/Lower Campanian,,84.9,70.6,77.75,83.5,79.2,81.35,84.9,70.6,77.75,,"""limestone"""
38134,PaleoDB,M. Carrano,Tarbosaurus,,17707,43271,2003,"Kundur, Amur region",Russian Federation,Europe,stated in text,51.38,N2,117.66,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Late/Upper Maastrichtian,,70.6,66.043,68.3215,68.05,65.5,66.775,70.6,66.043,68.3215,Udurchukan,claystone
38134,PaleoDB,M. Carrano,Tarbosaurus,"""",17707,43271,2003,"Kundur, Amur region",Russian Federation,Europe,stated in text,51.38,N2,117.66,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,Late/Upper Maastrichtian,,70.6,66.043,68.3215,68.05,65.5,66.775,70.6,66.043,68.3215,Udurchukan,claystone
53967,ETE,M. Carrano,Teinurosaurus,n. gen.,29483,42894,1888,"Mont Rouge, Wimille (UJ)",France,Europe,based on nearby landmark,41.6,N2,11.02,Jurassic,Late/Upper Jurassic,,Tithonian,Jurassic 6,Portlandian,Tithonian,,150.8,145.5,148.15,,,0,150.8,145.5,148.15,Mont-Lambert,not reported
68905,ETE,M. Carrano,Torvosaurus,,50323,19890,2006,"Cadaval, Quinta do Gradil",Portugal,Europe,based on nearby landmark,33.36,N2,1.24,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Late/Upper Kimmeridgian,,155.7,150.8,153.25,153.25,150.8,152.025,155.7,150.8,153.25,Lourinhã,not reported
154726,,M. Carrano,Torvosaurus,cf.,50323,50326,2008,northern Praia da Corva,Portugal,Europe,estimated from map,33.43,N2,1.03,Jurassic,Late/Upper Jurassic,,Kimmeridgian,Jurassic 6,Kimmeridgian,Late/Upper Kimmeridgian,,155.7,150.8,153.25,153.25,150.8,152.025,155.7,150.8,153.25,Lourinhã,sandstone
